question,variable,value,label
EU als christliche Wertegemeinschaft verstehen,DIE LINKE,1,Ablehnung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,DIE LINKE,3,Zustimmung zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",DIE LINKE,1,"Ablehnung zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,DIE LINKE,3,Zustimmung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,DIE LINKE,3,Zustimmung zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,DIE LINKE,3,Zustimmung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,DIE LINKE,1,Ablehnung zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,DIE LINKE,3,Zustimmung zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,DIE LINKE,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,DIE LINKE,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,DIE LINKE,1,Ablehnung zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,DIE LINKE,3,Zustimmung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,AfD,1,Ablehnung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,AfD,1,Ablehnung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,AfD,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,AfD,1,Ablehnung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,AfD,3,Zustimmung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,AfD,1,Ablehnung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,AfD,2,Neutral zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,AfD,3,Zustimmung zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,AfD,3,"Zustimmung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,AfD,1,Ablehnung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,AfD,1,Ablehnung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,AfD,2,Neutral zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,AfD,1,Ablehnung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,AfD,1,Ablehnung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,AfD,1,Ablehnung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),AfD,2,Neutral zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,AfD,3,Zustimmung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,AfD,1,Ablehnung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,AfD,1,"Ablehnung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,AfD,3,Zustimmung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,AfD,3,Zustimmung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,AfD,1,Ablehnung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,AfD,1,Ablehnung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,AfD,1,"Ablehnung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,AfD,3,"Zustimmung zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,AfD,1,Ablehnung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,AfD,3,Zustimmung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
